region,Africa,,Asia,,Europe,,Global,,N. America,,Oceania,,S. America,
epoch,2C,3C,2C,3C,2C,3C,2C,3C,2C,3C,2C,3C,2C,3C
crop,,,,,,,,,,,,,,
Barley,329,341,725,1024,487,732,2735,3601,675,853,87,144,193,263
Cassava,1115,1064,463,601,,,2217,2256,154,157,18,20,460,404
Citrus,974,984,652,896,167,310,3165,3843,631,843,211,245,508,514
Cocoa,576,524,60,51,,,903,816,115,113,6,8,146,120
Coffee,774,763,410,522,,,1735,1800,161,165,18,20,360,318
Cotton,881,1074,731,892,127,210,2490,2960,315,341,122,136,312,304
Date palm,425,445,222,319,124,219,796,1037,16,40,,,8,7
Fodder grasses,121,167,1059,1337,511,727,3619,4516,887,1112,276,318,500,562
Grapes / Vine,293,340,713,942,373,569,2639,3394,433,614,146,177,422,485
Groundnuts / Peanuts,764,862,645,727,82,152,2145,2454,275,307,73,91,306,310
Maize,860,976,776,998,307,501,3347,4189,709,926,119,147,320,375
Millet,792,901,647,838,61,171,1876,2437,55,92,74,94,92,157
Oil palm,606,558,296,415,,,1066,1129,57,56,,,107,100
Others annual,1050,1107,832,1054,383,652,3933,4837,875,1112,138,176,386,414
Others perennial,1317,1333,984,1258,544,776,4762,5652,846,1078,251,291,527,572
Potatoes,480,568,927,1092,429,662,3313,4172,821,1014,120,165,285,401
Pulses,745,851,938,1148,376,565,3616,4459,738,900,124,166,427,543
Rapeseed/Canola,16,22,463,809,314,507,1654,2318,365,436,66,102,210,192
Rice,930,971,555,645,123,254,2325,2638,294,324,18,36,348,344
Rye,3,21,401,638,396,600,1713,2582,453,684,95,152,125,242
Sorghum,819,946,626,819,191,322,2771,3502,499,666,132,172,285,328
Soybeans,389,442,848,959,258,396,2531,3032,487,625,62,85,239,267
Sugar beet,,,505,601,263,446,1001,1359,155,218,,,3,8
Sugar cane,981,969,514,666,58,103,2415,2588,259,276,115,122,479,431
Sunflower,222,311,757,877,280,428,2337,2925,467,644,91,110,277,302
Wheat,698,810,796,1220,470,670,3327,4399,609,802,132,196,383,457
